target_compatibility,disorder,level,level_num,k_diagnosis1,n,p,ci95_lo,ci95_hi
high,DN_flagged,L1_forum,1,120,120,1.0,0.969,1.0
high,DN_flagged,L2_coach_blog,2,120,120,1.0,0.969,1.0
high,DN_flagged,L3_wiki,3,120,120,1.0,0.969,1.0
high,DN_flagged,L4_preprint,4,120,120,1.0,0.969,1.0
high,DN_flagged,L5_pseudodsm,5,120,120,1.0,0.969,1.0
high,DN_plausible,L1_forum,1,120,120,1.0,0.969,1.0
high,DN_plausible,L2_coach_blog,2,120,120,1.0,0.969,1.0
high,DN_plausible,L3_wiki,3,120,120,1.0,0.969,1.0
high,DN_plausible,L4_preprint,4,120,120,1.0,0.969,1.0
high,DN_plausible,L5_pseudodsm,5,120,120,1.0,0.969,1.0
high,incoherent,L1_forum,1,19,119,0.1597,0.1047,0.236
high,incoherent,L2_coach_blog,2,79,119,0.6639,0.575,0.7424
high,incoherent,L3_wiki,3,47,119,0.395,0.3117,0.4848
high,incoherent,L4_preprint,4,110,120,0.9167,0.8534,0.9541
high,incoherent,L5_pseudodsm,5,89,120,0.7417,0.6567,0.8116
high,real_anchor,L1_forum,1,82,118,0.6949,0.6068,0.7708
high,real_anchor,L2_coach_blog,2,77,118,0.6525,0.563,0.7324
high,real_anchor,L3_wiki,3,62,119,0.521,0.432,0.6087
high,real_anchor,L4_preprint,4,102,118,0.8644,0.7911,0.9148
high,real_anchor,L5_pseudodsm,5,95,120,0.7917,0.7105,0.8547
low,DN_flagged,L1_forum,1,2,120,0.0167,0.0046,0.0587
low,DN_flagged,L2_coach_blog,2,7,120,0.0583,0.0285,0.1155
low,DN_flagged,L3_wiki,3,1,120,0.0083,0.0015,0.0457
low,DN_flagged,L4_preprint,4,2,120,0.0167,0.0046,0.0587
low,DN_flagged,L5_pseudodsm,5,3,120,0.025,0.0085,0.0709
low,DN_plausible,L1_forum,1,2,120,0.0167,0.0046,0.0587
low,DN_plausible,L2_coach_blog,2,14,120,0.1167,0.0708,0.1863
low,DN_plausible,L3_wiki,3,5,120,0.0417,0.0179,0.0938
low,DN_plausible,L4_preprint,4,3,120,0.025,0.0085,0.0709
low,DN_plausible,L5_pseudodsm,5,6,120,0.05,0.0231,0.1048
low,incoherent,L1_forum,1,1,120,0.0083,0.0015,0.0457
low,incoherent,L2_coach_blog,2,15,120,0.125,0.0772,0.196
low,incoherent,L3_wiki,3,10,120,0.0833,0.0459,0.1466
low,incoherent,L4_preprint,4,22,116,0.1897,0.1287,0.2705
low,incoherent,L5_pseudodsm,5,20,119,0.1681,0.1115,0.2454
low,real_anchor,L1_forum,1,4,118,0.0339,0.0133,0.0839
low,real_anchor,L2_coach_blog,2,1,118,0.0085,0.0015,0.0464
low,real_anchor,L3_wiki,3,2,120,0.0167,0.0046,0.0587
low,real_anchor,L4_preprint,4,1,120,0.0083,0.0015,0.0457
low,real_anchor,L5_pseudodsm,5,1,120,0.0083,0.0015,0.0457
neutral,DN_flagged,L1_forum,1,48,120,0.4,0.3168,0.4894
neutral,DN_flagged,L2_coach_blog,2,73,120,0.6083,0.5189,0.691
neutral,DN_flagged,L3_wiki,3,43,120,0.3583,0.2782,0.4473
neutral,DN_flagged,L4_preprint,4,62,120,0.5167,0.4281,0.6042
neutral,DN_flagged,L5_pseudodsm,5,35,120,0.2917,0.2178,0.3784
neutral,DN_plausible,L1_forum,1,54,119,0.4538,0.3672,0.5433
neutral,DN_plausible,L2_coach_blog,2,90,120,0.75,0.6656,0.8189
neutral,DN_plausible,L3_wiki,3,53,120,0.4417,0.356,0.531
neutral,DN_plausible,L4_preprint,4,71,120,0.5917,0.5022,0.6754
neutral,DN_plausible,L5_pseudodsm,5,48,120,0.4,0.3168,0.4894
neutral,incoherent,L1_forum,1,6,120,0.05,0.0231,0.1048
neutral,incoherent,L2_coach_blog,2,61,120,0.5083,0.42,0.5961
neutral,incoherent,L3_wiki,3,27,120,0.225,0.1595,0.3076
neutral,incoherent,L4_preprint,4,78,117,0.6667,0.5772,0.7456
neutral,incoherent,L5_pseudodsm,5,49,119,0.4118,0.3274,0.5016
neutral,real_anchor,L1_forum,1,28,116,0.2414,0.1726,0.3267
neutral,real_anchor,L2_coach_blog,2,30,118,0.2542,0.1843,0.3397
neutral,real_anchor,L3_wiki,3,26,120,0.2167,0.1524,0.2985
neutral,real_anchor,L4_preprint,4,31,120,0.2583,0.1884,0.3433
neutral,real_anchor,L5_pseudodsm,5,24,119,0.2017,0.1394,0.2826
