[2026-07-21T09:27:39Z] PHYSICS GATE: VRAM free < 16GB floor -> lens load withheld.
nvidia-smi (total,used,free MiB):
32607 MiB, 31649 MiB, 539 MiB
ollama ps:
NAME            ID              SIZE     PROCESSOR          CONTEXT    UNTIL   
llama3.3:70b    a6eb4748fd29    86 GB    64%/36% CPU/GPU    16384      Forever    
NOTE: llama3.3:70b pinned UNTIL Forever (not mistral-sim). Delegate does NOT evict (harness blocks ollama stop; possible colleague run). Awaiting PI to free VRAM from their terminal.
---
[09:36:41Z] waiting: 543MiB free (<16384 floor)
[09:37:11Z] waiting: 553MiB free (<16384 floor)
[09:37:41Z] waiting: 555MiB free (<16384 floor)
[09:38:11Z] waiting: 556MiB free (<16384 floor)
[09:38:41Z] waiting: 556MiB free (<16384 floor)
[09:39:11Z] waiting: 555MiB free (<16384 floor)
[09:39:41Z] waiting: 556MiB free (<16384 floor)
[09:40:12Z] waiting: 556MiB free (<16384 floor)
[09:40:42Z] waiting: 556MiB free (<16384 floor)
[09:41:12Z] waiting: 557MiB free (<16384 floor)
[09:41:42Z] waiting: 557MiB free (<16384 floor)
[09:42:12Z] waiting: 557MiB free (<16384 floor)
[09:42:42Z] waiting: 558MiB free (<16384 floor)
[09:43:12Z] waiting: 558MiB free (<16384 floor)
[09:43:42Z] waiting: 558MiB free (<16384 floor)
[09:44:12Z] waiting: 558MiB free (<16384 floor)
[09:44:42Z] waiting: 558MiB free (<16384 floor)
[09:45:12Z] waiting: 558MiB free (<16384 floor)
[09:45:42Z] waiting: 559MiB free (<16384 floor)
[09:46:12Z] waiting: 559MiB free (<16384 floor)
[09:46:43Z] waiting: 559MiB free (<16384 floor)
[09:47:13Z] waiting: 559MiB free (<16384 floor)
[09:47:43Z] waiting: 559MiB free (<16384 floor)
[09:48:13Z] waiting: 559MiB free (<16384 floor)
[09:48:43Z] waiting: 559MiB free (<16384 floor)
[09:49:13Z] waiting: 559MiB free (<16384 floor)
[09:49:43Z] waiting: 559MiB free (<16384 floor)
